Date,F/R,S/R,City
2018-11-13,35,43,Shillong
2018-11-10,91,99,Shillong
2018-11-09,25,47,Shillong
2018-11-08,69,20,Shillong
2018-11-07,86,05,Shillong
2018-11-06,36,24,Shillong
2018-11-05,35,46,Shillong
2018-11-03,20,46,Shillong
2018-11-02,80,13,Shillong
2018-11-01,95,02,Shillong
2018-10-31,59,86,Shillong
2018-10-30,75,42,Shillong
2018-10-29,13,07,Shillong
2018-10-27,37,19,Shillong
2018-10-26,37,89,Shillong
2018-10-25,54,62,Shillong
2018-10-24,38,07,Shillong
2018-10-23,69,62,Shillong
2018-10-22,65,91,Shillong
2018-10-20,85,08,Shillong
2018-10-19,36,29,Shillong
2018-10-18,78,39,Shillong
2018-10-17,53,39,Shillong
2018-10-16,38,85,Shillong
2018-10-15,45,07,Shillong
2018-10-13,64,03,Shillong
2018-10-12,41,78,Shillong
2018-10-11,94,52,Shillong
2018-10-10,69,97,Shillong
2018-10-09,62,66,Shillong
2018-10-08,15,72,Shillong
2018-10-06,57,15,Shillong
2018-10-05,99,47,Shillong
2018-10-04,57,90,Shillong
2018-10-03,66,24,Shillong
2018-10-02,71,45,Shillong
2018-10-01,65,09,Shillong
2018-09-29,27,41,Shillong
2018-09-28,64,15,Shillong
2018-09-27,02,91,Shillong
2018-09-26,39,25,Shillong
2018-09-25,51,52,Shillong
2018-09-24,30,44,Shillong
2018-09-22,73,00,Shillong
2018-09-21,20,06,Shillong
2018-09-20,24,18,Shillong
2018-09-19,02,22,Shillong
2018-09-18,48,13,Shillong
2018-09-17,70,39,Shillong
2018-09-15,18,45,Shillong
2018-09-14,22,75,Shillong
2018-09-13,11,82,Shillong
2018-09-12,90,61,Shillong
2018-09-11,52,69,Shillong
2018-09-10,52,33,Shillong
2018-09-08,89,18,Shillong
2018-09-07,56,95,Shillong
2018-09-06,92,14,Shillong
2018-09-05,87,10,Shillong
2018-09-04,87,51,Shillong
2018-09-03,92,97,Shillong
2018-09-01,61,50,Shillong
2018-08-31,20,81,Shillong
2018-08-29,96,40,Shillong
2018-08-28,67,92,Shillong
2018-08-27,78,67,Shillong
2018-08-25,95,16,Shillong
2018-08-24,79,31,Shillong
2018-08-23,66,54,Shillong
2018-08-22,14,60,Shillong
2018-08-21,57,78,Shillong
2018-08-20,55,66,Shillong
2018-08-18,61,86,Shillong
2018-08-17,77,43,Shillong
2018-08-16,87,33,Shillong
2018-08-14,67,52,Shillong
2018-08-13,31,51,Shillong
2018-08-11,63,00,Shillong
2018-08-11,63,00,Shillong
2018-08-10,64,85,Shillong
2018-08-10,64,85,Shillong
2018-08-09,14,54,Shillong
2018-08-08,80,52,Shillong
2018-08-07,72,14,Shillong
2018-08-06,04,77,Shillong
2018-08-04,21,05,Shillong
2018-08-03,25,61,Shillong
2018-08-02,07,68,Shillong
2018-08-01,55,80,Shillong
2018-07-31,85,11,Shillong
2018-07-30,13,84,Shillong
2018-07-28,58,64,Shillong
2018-07-27,06,32,Shillong
2018-07-26,88,46,Shillong
2018-07-25,28,81,Shillong
2018-07-24,02,17,Shillong
2018-07-23,74,91,Shillong
2018-07-21,10,14,Shillong
2018-07-20,63,33,Shillong
2018-07-19,51,32,Shillong
2018-07-18,22,70,Shillong
2018-07-16,83,62,Shillong
2018-07-14,72,05,Shillong
2018-07-13,77,24,Shillong
2018-07-12,95,22,Shillong
2018-07-11,20,81,Shillong
2018-07-10,78,35,Shillong
2018-07-09,01,81,Shillong
2018-07-07,81,80,Shillong
2018-07-06,31,22,Shillong
2018-07-05,27,58,Shillong
2018-07-04,92,75,Shillong
2018-07-02,31,59,Shillong
2018-06-30,27,44,Shillong
2018-06-29,56,02,Shillong
2018-06-28,60,17,Shillong
2018-06-27,35,77,Shillong
2018-06-26,81,84,Shillong
2018-06-25,77,92,Shillong
2018-06-23,94,11,Shillong
2018-06-22,60,84,Shillong
2018-06-21,95,65,Shillong
2018-06-20,19,01,Shillong
2018-06-19,81,72,Shillong
2018-06-18,83,85,Shillong
2018-06-16,71,48,Shillong
2018-06-15,79,39,Shillong
2018-06-14,99,06,Shillong
2018-06-13,07,25,Shillong
2018-06-09,95,69,Shillong
2018-06-08,06,23,Shillong
2018-06-07,34,52,Shillong
2018-06-06,35,92,Shillong
2018-06-02,15,04,Shillong
2018-06-01,12,96,Shillong
2018-05-31,18,00,Shillong
2018-05-30,85,34,Shillong
2018-05-29,39,71,Shillong
2018-05-28,61,55,Shillong
2018-05-26,85,20,Shillong
2018-05-25,36,05,Shillong
2018-05-24,41,45,Shillong
2018-05-23,40,77,Shillong
2018-05-22,74,06,Shillong
2018-05-21,83,78,Shillong
2018-05-19,40,20,Shillong
2018-05-18,07,09,Shillong
2018-05-17,46,13,Shillong
2018-05-17,46,13,Shillong
2018-05-16,84,81,Shillong
2018-05-16,84,81,Shillong
2018-05-15,16,14,Shillong
2018-05-14,60,38,Shillong
2018-05-12,66,25,Shillong
2018-05-11,75,51,Shillong
2018-05-11,75,51,Shillong
2018-05-10,46,54,Shillong
2018-05-09,28,74,Shillong
2018-05-08,78,91,Shillong
2018-05-07,61,41,Shillong
2018-05-05,59,90,Shillong
2018-05-04,18,81,Shillong
2018-05-03,09,27,Shillong
2018-05-02,09,57,Shillong
2018-05-01,79,62,Shillong
2018-04-30,06,45,Shillong
2018-04-28,70,74,Shillong
2018-04-27,30,28,Shillong
2018-04-26,11,51,Shillong
2018-04-25,31,43,Shillong
2018-04-24,20,40,Shillong
2018-04-23,98,42,Shillong
2018-04-21,17,66,Shillong
2018-04-20,17,27,Shillong
2018-04-19,15,67,Shillong
2018-04-18,72,63,Shillong
2018-04-17,70,10,Shillong
2018-04-16,76,15,Shillong
2018-04-14,16,86,Shillong
2018-04-13,08,74,Shillong
2018-04-12,65,02,Shillong
2018-04-11,97,48,Shillong
2018-04-10,40,44,Shillong
2018-04-07,65,28,Shillong
2018-04-06,20,37,Shillong
2018-04-05,71,57,Shillong
2018-04-03,58,43,Shillong
2018-04-02,37,66,Shillong
2018-03-31,82,70,Shillong
2018-03-29,84,90,Shillong
2018-03-28,07,36,Shillong
2018-03-27,63,19,Shillong
2018-03-26,15,70,Shillong
2018-03-24,83,79,Shillong
2018-03-23,59,45,Shillong
2018-03-22,85,25,Shillong
2018-03-21,84,75,Shillong
2018-03-20,67,09,Shillong
2018-03-19,93,24,Shillong
2018-03-17,40,90,Shillong
2018-03-16,11,81,Shillong
2018-03-15,85,22,Shillong
2018-03-14,58,26,Shillong
2018-03-13,95,47,Shillong
2018-03-12,05,68,Shillong
2018-03-10,68,07,Shillong
2018-03-09,80,99,Shillong
2018-03-08,14,75,Shillong
2018-03-07,96,26,Shillong
2018-03-06,05,56,Shillong
2018-03-05,14,33,Shillong
2018-03-03,35,36,Shillong
2018-03-01,15,53,Shillong
2018-02-28,66,03,Shillong
2018-02-26,44,51,Shillong
2018-02-24,10,11,Shillong
2018-02-23,28,86,Shillong
2018-02-22,46,11,Shillong
2018-02-21,02,03,Shillong
2018-02-20,03,04,Shillong
2018-02-19,29,41,Shillong
2018-02-17,88,85,Shillong
2018-02-16,10,75,Shillong
2018-02-15,69,80,Shillong
2018-02-14,39,66,Shillong
2018-02-13,35,14,Shillong
2018-02-12,89,59,Shillong
2018-02-10,73,34,Shillong
2018-02-09,65,49,Shillong
2018-02-08,37,08,Shillong
2018-02-07,95,10,Shillong
2018-02-06,46,36,Shillong
2018-02-05,75,92,Shillong
2018-02-03,04,51,Shillong
2018-02-01,31,70,Shillong
2018-01-25,18,63,Shillong
2018-01-24,51,75,Shillong
2018-01-23,85,58,Shillong
2018-01-22,43,92,Shillong
2018-01-20,97,44,Shillong
2018-01-19,74,44,Shillong
2018-01-18,12,16,Shillong
2018-01-18,12,16,Shillong
2018-01-17,16,88,Shillong
2018-01-16,75,16,Shillong
2018-01-15,92,71,Shillong
2018-01-12,61,71,Shillong
2018-01-11,25,39,Shillong
2018-01-10,61,00,Shillong
2018-01-09,62,73,Shillong
2018-01-08,88,05,Shillong
2018-01-06,04,18,Shillong
2018-01-05,48,21,Shillong
2018-01-04,70,70,Shillong
2018-01-03,95,78,Shillong
2018-01-02,34,09,Shillong
2017-12-29,72,07,Shillong
2017-12-28,65,24,Shillong
2017-12-27,26,72,Shillong
2017-12-26,82,87,Shillong
2017-12-23,73,49,Shillong
2017-12-22,35,29,Shillong
2017-12-21,59,71,Shillong
2017-12-20,16,78,Shillong
2017-12-19,52,18,Shillong
2017-12-18,89,15,Shillong
2017-12-16,66,50,Shillong
2017-12-14,81,38,Shillong
2017-12-13,96,99,Shillong
2017-12-12,80,21,Shillong
2017-12-09,42,92,Shillong
2017-12-08,64,59,Shillong
2017-12-07,07,43,Shillong
2017-12-06,05,81,Shillong
2017-12-05,82,56,Shillong
2017-12-04,83,81,Shillong
2017-12-02,89,58,Shillong
2017-12-01,92,98,Shillong
2017-11-30,99,48,Shillong
2017-11-29,14,68,Shillong
2017-11-28,51,09,Shillong
2017-11-27,89,45,Shillong
2017-11-24,00,28,Shillong
2017-11-22,56,39,Shillong
2017-11-21,39,38,Shillong
2017-11-20,82,52,Shillong
2017-11-18,06,12,Shillong
2017-11-17,26,55,Shillong
2017-11-16,89,40,Shillong
2017-11-15,93,85,Shillong
2017-11-14,95,08,Shillong
2017-11-13,12,79,Shillong
2017-11-10,95,83,Shillong
2017-11-09,87,30,Shillong
2017-11-08,98,31,Shillong
2017-11-07,01,94,Shillong
2017-11-06,26,38,Shillong
2017-11-04,52,62,Shillong
2017-11-03,94,46,Shillong
2017-11-02,01,79,Shillong
2017-11-01,46,16,Shillong
2017-10-31,52,03,Shillong
2017-10-30,40,99,Shillong
2017-10-27,74,20,Shillong
2017-10-26,72,48,Shillong
2017-10-24,99,40,Shillong
2017-10-20,46,83,Shillong
